EmployeeID,Period,Gross,Tax,SSS,PhilHealth,Pagibig,Net
10001,2026-03-01 to 2026-03-15,1600.0,80.0,64.0,32.0,100.0,1324.0
10002,2026-03-01 to 2026-03-15,1200.0,60.0,48.0,24.0,100.0,968.0
10007,2026-03-01 to 2026-03-15,2800.0,140.0,112.0,56.0,28.0,2464.0
10003,2026-03-01 to 2026-03-15,4000.0,200.0,160.0,80.0,40.0,3520.0
10010,2026-03-01 to 2026-03-15,4640.0,232.0,185.6,92.8,46.4,4083.2
10008,2026-03-01 to 2026-03-15,4750.0,237.5,190.0,95.0,47.5,4180.0
10009,2026-03-01 to 2026-03-15,4480.0,224.0,179.20000000000002,89.60000000000001,44.8,3942.4
10006,2026-03-01 to 2026-03-15,3500.0,175.0,140.0,70.0,35.0,3080.0
10018,2026-03-01 to 2026-03-15,5280.0,264.0,211.2,105.6,52.8,4646.4
10028,2026-03-01 to 2026-03-15,5700.0,285.0,228.0,114.0,57.0,5016.0
10000,2026-03-16 to 2026-03-31,4000.0,200.0,160.0,80.0,40.0,3520.0
10001,2026-03-16 to 2026-03-31,4000.0,200.0,160.0,80.0,40.0,3520.0
10008,2026-03-16 to 2026-03-31,5500.0,275.0,220.0,110.0,55.0,4840.0
10000,2026-03-16 to 2026-03-31,17142.72,1714.2720000000002,771.4224,514.2816,342.85440000000006,13799.8896
10035,2026-03-01 to 2026-03-15,39050.0,3905.0,1757.25,1171.5,781.0,31435.25
10024,2026-03-01 to 2026-03-15,6490.0,649.0,292.05,194.7,129.8,5224.45
10002,2026-03-01 to 2026-03-15,4750.0,475.0,213.75,142.5,95.0,3823.75
10002,2026-03-16 to 2026-03-31,4000.0,400.0,180.0,120.0,80.0,3220.0
10024,2026-03-16 to 2026-03-31,5700.0,570.0,256.5,171.0,114.0,4588.5
10023,2026-03-01 to 2026-03-15,5700.0,570.0,256.5,171.0,114.0,4588.5
10007,2026-03-01 to 2026-03-15,4000.0,400.0,180.0,120.0,80.0,3220.0
10004,2026-03-01 to 2026-03-15,3500.0,350.0,157.5,105.0,70.0,2817.5
10021,2026-03-01 to 2026-03-15,4800.0,480.0,216.0,144.0,96.0,3864.0
10017,2026-03-01 to 2026-03-15,5605.0,560.5,252.225,168.15,112.1,4512.025
